Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 366 RAISE 580
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,CALL freq,FOLD freq
7d 4c 3c,0.00048,49.37,681.764,117.42,50.63,492.721,101.166,99.52,0.48,0.00
7d 5c 2c,0.41044,64.26,961.387,127.218,35.74,213.112,61.9836,74.38,17.04,8.58
7d 5c 3c,0.00162,62.91,950.87,128.531,37.09,223.631,62.6717,90.47,9.53,0.00
7d 5c 4c,0.12512,63.13,953.76,128.469,36.87,220.739,62.2335,75.58,24.42,0.00
7d 6c 2c,0.00465,53.80,769.452,121.627,46.20,405.053,91.1281,94.84,4.80,0.36
7d 6c 3c,0.04055,55.95,804.204,122.215,44.05,370.298,87.3926,88.54,7.24,4.22
7d 6c 4c,0.22041,59.61,883.994,126.11,40.39,290.503,74.7597,83.78,16.22,0.00
7d 6c 5c,0.18663,53.78,769.278,121.638,46.22,405.227,91.1334,87.87,12.13,0.00
7h 7d 2c,2.14873,67.89,1039.9,130.243,32.11,134.6,43.5794,65.88,17.88,16.24
7h 7d 3c,1.15217,66.35,1010.88,129.545,33.64,163.614,50.5505,65.25,18.90,15.85
7h 7d 4c,0.92061,68.42,1048.06,130.259,31.58,126.444,41.6177,66.75,16.30,16.95
7h 7d 5c,0.62878,64.94,977.095,127.942,35.06,197.405,58.5298,65.48,16.11,18.41
7h 7d 6c,0.16219,67.53,1036.14,130.463,32.47,138.354,44.2986,59.33,30.95,9.71
7h 2d 2c,2.23362,66.76,1017.02,129.549,33.24,157.476,49.2404,72.30,8.41,19.29
7h 3d 3c,1.41018,68.36,1046.65,130.203,31.64,127.856,41.9996,71.16,10.25,18.59
7h 3d 2c,0.69899,63.08,947.161,127.672,36.92,227.34,64.0158,67.43,16.86,15.71
7h 4d 4c,1.18262,70.09,1082.87,131.375,29.91,91.6308,31.8454,67.60,14.59,17.81
7h 4d 2c,1.11591,65.00,983.343,128.644,35.00,191.161,56.7735,67.48,16.44,16.09
