Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 46 freq,CALL freq,FOLD freq
7c 3d 3c,79.217,43.57,15.107,77.0577,56.43,39.393,124.65,22.40,53.42,24.18
7c 3d 2c,67.0539,44.14,15.2812,76.9276,55.86,39.2188,125.38,20.24,57.24,22.52
7c 4c 2c,94.1823,46.58,16.9643,80.9312,53.42,37.5357,125.475,9.67,65.27,25.06
7c 4c 2d,56.2168,44.87,15.5022,76.7687,55.13,38.9978,126.328,18.88,59.97,21.15
7c 4c 3c,81.5315,47.16,17.05,80.3416,52.84,37.4499,126.561,7.55,69.93,22.52
7c 4c 3d,33.6114,45.59,15.7806,76.9142,54.41,38.7195,127.084,18.11,60.25,21.63
7c 4d 4c,40.6523,43.83,15.1908,77.0117,56.17,39.3093,124.978,22.01,53.45,24.55
7c 4d 2c,57.66,44.92,15.5036,76.6964,55.08,38.9964,126.429,18.63,60.43,20.95
7c 4d 3c,34.3553,45.59,15.7887,76.9673,54.41,38.7113,127.039,17.97,60.34,21.69
7c 5c 2c,91.5335,47.00,17.0699,80.7171,53.01,37.4301,126.1,9.16,66.69,24.15
7c 5c 2d,57.1572,45.35,15.5755,76.3232,54.65,38.9245,127.186,17.49,63.50,19.02
7c 5c 3c,79.8507,47.35,17.2259,80.8437,52.65,37.2741,126.422,7.53,70.87,21.61
7c 5c 3d,41.7398,45.80,15.9168,77.2308,54.20,38.5832,127.116,18.01,62.48,19.51
7c 5c 4c,71.2703,47.55,17.2056,80.4083,52.45,37.2943,126.974,6.70,73.20,20.11
7c 5c 4d,29.0309,46.54,16.3254,77.9459,53.46,38.1746,127.522,17.16,63.38,19.46
7c 5d 5c,36.6449,44.29,15.4145,77.3449,55.71,39.0855,125.279,21.60,54.70,23.70
7c 5d 2c,60.7514,45.45,15.5792,76.1696,54.55,38.9208,127.413,17.03,64.21,18.76
