Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 366 RAISE 880
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
8d 6c 5c,0.51177,61.85,1228.76,134.609,38.15,245.742,66.9508,99.53,0.47
8d 7c 2c,0.6274,64.37,1273.37,134.015,35.63,201.133,58.6876,91.00,9.00
8d 7c 3c,0.27579,61.88,1226.91,134.338,38.12,247.585,67.5085,92.01,7.99
8d 7c 4c,0.15399,63.59,1260.3,134.267,36.41,214.201,61.162,96.12,3.88
8d 7c 5c,0.4936,60.07,1193.42,134.61,39.93,281.078,73.1658,98.52,1.48
8d 7c 6c,0.2999,59.51,1166.17,132.757,40.49,308.335,79.1666,87.07,12.93
8h 8d 2c,2.1049,67.24,1327.77,133.791,32.76,146.728,46.5543,83.91,16.09
8h 8d 3c,1.69701,66.03,1302.81,133.67,33.97,171.697,52.5445,82.89,17.11
8h 8d 4c,2.27373,65.40,1292.02,133.846,34.60,182.477,54.822,82.17,17.83
8h 8d 5c,1.90541,66.41,1309.29,133.566,33.59,165.211,51.132,80.13,19.87
8h 8d 6c,1.96463,64.85,1283.24,134.063,35.15,191.257,56.5618,83.97,16.03
8h 8d 7c,0.2722,64.49,1279.93,134.466,35.51,194.572,56.9565,93.36,6.64
8h 2d 2c,2.51869,67.94,1338.27,133.447,32.06,136.236,44.1775,79.72,20.28
8h 3d 3c,3.00283,65.67,1294.96,133.606,34.33,179.541,54.3589,79.35,20.65
8h 3d 2c,1.47697,66.38,1304.64,133.154,33.62,169.862,52.5225,83.68,16.32
8h 4d 4c,2.87428,65.73,1294.82,133.454,34.27,179.682,54.5087,79.50,20.50
8h 4d 2c,2.12866,66.48,1306.69,133.173,33.52,167.809,52.0346,83.01,16.99
8h 4d 3c,1.59491,67.66,1328.43,133.014,32.34,146.063,46.9547,82.85,17.15
8h 5d 5c,2.00767,66.55,1309.75,133.338,33.45,164.753,51.1989,78.43,21.57
8h 5d 2c,1.71037,67.86,1335.1,133.285,32.14,139.404,45.0944,81.50,18.50
8h 5d 3c,1.37721,69.67,1367.56,132.989,30.33,106.94,36.651,81.32,18.68
8h 5d 4c,0.58607,68.33,1333.41,132.22,31.67,141.089,46.3029,81.52,18.48
8h 6d 6c,2.8337,63.84,1264.16,134.167,36.16,210.338,60.4607,82.70,17.30
8h 6d 2c,1.40611,69.10,1366.07,133.94,30.90,108.425,36.4748,80.76,19.24
8h 6d 3c,1.10494,69.53,1370.82,133.576,30.47,103.683,35.3706,80.19,19.81
8h 6d 4c,1.62446,67.19,1321.08,133.214,32.81,153.416,48.603,85.13,14.87
8h 6d 5c,0.60095,64.40,1258.07,132.359,35.60,216.432,63.191,86.13,13.87
8h 7d 7c,0.87434,63.78,1266.14,134.498,36.22,208.357,59.7971,90.53,9.47
8h 7d 2c,0.87575,66.98,1327.69,134.292,33.02,146.816,46.2218,87.04,12.96
8h 7d 3c,0.66869,67.46,1336.7,134.242,32.54,137.798,44.0226,86.79,13.21
8h 7d 4c,0.45681,64.12,1264.88,133.658,35.88,209.616,60.7235,89.96,10.04
8h 7d 5c,0.07937,59.47,1169.69,133.25,40.53,304.804,78.181,91.63,8.37
8h 7d 6c,0.47075,59.16,1161.68,133.03,40.84,312.827,79.6291,86.86,13.14
9c 2d 2c,1.44892,65.88,1288.31,132.488,34.12,186.191,56.7264,79.81,20.19
9c 3c 2c,0.00037,69.13,1374.68,134.722,30.87,99.8151,33.6128,100.00,0.00
9c 3c 2d,1.11099,63.59,1249.47,133.126,36.41,225.03,64.2417,86.46,13.54
9c 3d 3c,1.36334,65.23,1274.67,132.387,34.77,199.829,59.7463,80.59,19.41
9c 3d 2c,1.07098,63.48,1249.02,133.295,36.52,225.479,64.1884,86.41,13.59
9c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 4c 2d,1.26311,63.65,1248.83,132.925,36.35,225.676,64.5391,81.46,18.54
