Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Th9d8c.cfr
Action Line,Root CHECK BET 15 RAISE 60 RAISE 150
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 330 freq,CALL freq,FOLD freq
7c 4d 4c,0.21851,42.77,49.0054,63.656,57.23,197.126,127.571,0.00,17.15,38.61,44.24
7c 4d 2c,0.17437,42.37,38.2716,50.1763,57.63,204.462,131.413,2.38,16.55,41.72,39.36
7c 4d 3c,0.56459,42.24,43.6977,57.4745,57.76,198.584,127.334,7.51,11.25,41.12,40.11
7c 5c 2c,0.00001,33.37,21.2463,35.373,66.63,216.054,120.094,0.55,31.20,21.12,47.14
7c 5c 2d,0.26703,42.50,40.0509,52.3482,57.49,202.342,130.344,2.57,13.67,47.48,36.28
7c 5c 3c,0.00219,43.54,40.3384,51.466,56.46,205.043,134.515,0.09,31.17,19.93,48.80
7c 5c 3d,0.44413,42.78,42.2341,54.8435,57.22,199.893,129.391,3.34,15.04,44.45,37.16
7c 5c 4c,0.05696,45.94,48.6782,58.8673,54.06,198.078,135.704,0.00,31.28,19.80,48.92
7c 5c 4d,0.92929,43.60,45.6928,58.2262,56.40,197.332,129.579,6.64,15.08,36.96,41.32
7c 5d 5c,0.1991,43.86,47.9376,60.7206,56.14,198.632,131.042,0.00,14.92,40.88,44.20
7c 5d 2c,0.28957,42.44,40.0918,52.4802,57.56,202.191,130.103,2.72,14.36,46.42,36.50
7c 5d 3c,0.43255,42.87,42.1193,54.5848,57.13,199.701,129.461,3.80,14.89,44.49,36.83
7c 5d 4c,0.93989,43.53,45.2288,57.7219,56.47,197.585,129.594,7.46,13.68,37.97,40.89
7c 6c 2c,0.00005,44.05,65.4255,82.5179,55.95,181.393,120.071,0.55,28.39,22.85,48.21
7c 6c 2d,0.2837,43.25,41.7846,53.6776,56.75,200.513,130.853,1.97,14.70,48.33,35.00
7c 6c 3c,0.00005,35.84,9.93162,15.3942,64.16,231.067,133.389,0.29,31.84,21.17,46.70
7c 6c 3d,0.66585,42.45,46.8019,61.2574,57.55,194.986,125.476,6.14,10.40,49.39,34.07
7c 6c 4c,0.03694,44.71,49.8386,61.9322,55.29,196.943,131.919,0.00,30.03,21.36,48.61
7c 6c 4d,0.61878,43.14,46.614,60.0253,56.86,195.734,127.502,4.80,14.65,44.99,35.56
7c 6c 5c,0.0523,45.37,49.146,60.1813,54.63,197.841,134.125,0.00,28.93,21.75,49.32
7c 6c 5d,0.66371,44.09,48.8128,61.5014,55.91,194.832,129.073,1.63,20.57,36.04,41.75
7c 6d 6c,0.3101,43.70,49.4596,62.8837,56.30,196.438,129.217,0.00,17.94,39.76,42.30
7c 6d 2c,0.3473,43.05,42.3693,54.6791,56.95,199.972,130.048,1.33,15.57,48.61,34.49
7c 6d 3c,0.7224,42.28,46.7699,61.4482,57.72,195.089,125.192,6.06,10.83,49.16,33.94
7c 6d 4c,0.63803,43.05,46.5756,60.105,56.95,195.829,127.356,4.65,14.65,45.04,35.67
7c 6d 5c,0.71944,43.95,48.577,61.3995,56.05,195.24,129.02,1.50,20.86,35.53,42.11
7d 7c 2c,0.3361,43.12,52.3904,67.503,56.88,195.512,127.302,0.00,18.63,36.53,44.84
7d 7c 3c,0.32788,43.29,50.7709,65.1531,56.71,196.705,128.471,0.00,18.71,36.50,44.78
7d 7c 4c,0.30793,44.05,51.8297,65.3732,55.95,195.486,129.396,0.00,19.10,35.83,45.06
7d 7c 5c,0.34338,44.12,50.8754,64.0637,55.88,196.525,130.253,0.00,18.76,35.51,45.73
7d 7c 6c,0.39098,43.94,51.4228,65.0172,56.06,195.166,128.939,0.00,20.53,36.48,42.99
7h 7d 7c,0.0609,42.97,39.7443,51.3867,57.03,207.503,134.755,0.00,44.08,4.68,51.25
7d 3c 2c,0.22282,41.71,39.9517,53.2189,58.29,203.423,129.244,0.00,18.95,41.12,39.93
7d 4c 2c,0.1871,42.04,40.2025,53.1251,57.96,203.041,129.75,0.41,18.62,41.44,39.52
7d 4c 3c,0.52464,42.02,43.7345,57.8236,57.98,199.186,127.236,3.91,16.86,38.09,41.14
7d 5c 2c,0.29807,42.44,41.7886,54.7038,57.56,200.983,129.321,0.93,16.36,46.24,36.47
7d 5c 3c,0.39689,42.58,41.7644,54.4861,57.42,200.695,129.461,1.75,17.93,42.32,37.99
7d 5c 4c,0.94148,43.40,45.1455,57.7885,56.60,197.99,129.56,5.78,16.49,36.32,41.41
7d 6c 2c,0.3341,42.67,42.7973,55.7263,57.33,199.875,129.117,0.67,16.62,47.68,35.03
7d 6c 3c,0.69447,42.04,45.7909,60.5145,57.96,196.579,125.613,4.52,13.68,46.08,35.72
7d 6c 4c,0.63692,42.84,46.887,60.8015,57.16,195.7,126.808,3.49,16.23,44.38,35.90
7d 6c 5c,0.70794,43.96,48.3352,61.0886,56.04,195.604,129.269,1.22,22.27,33.82,42.69
7h 7d 2c,0.22941,44.46,53.4265,66.7604,55.54,195.406,130.306,0.00,34.12,15.17,50.70
7h 7d 3c,0.22352,44.70,53.688,66.7217,55.30,194.511,130.28,0.00,25.89,25.21,48.90
7h 7d 4c,0.27768,45.26,54.0258,66.3201,54.74,193.959,131.225,0.00,24.40,27.06,48.54
