Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\2c2d2h.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 11 freq,CHECK freq
7d 7c 6c,100,46.34,18.7086,89.7085,53.66,24.7913,102.677,50.64,49.36
7h 7d 7c,100,41.52,13.6721,73.1771,58.48,29.8279,113.343,100.00,0.00
7d 3c 2c,100,46.01,17.932,86.6142,53.99,25.568,105.232,65.12,34.88
7d 4c 2c,100,47.26,18.7771,88.2845,52.74,24.7228,104.179,57.05,42.95
7d 4c 3c,100,48.80,20.527,93.4675,51.20,22.973,99.7161,34.35,65.65
7d 5c 2c,100,47.83,18.8966,87.8017,52.17,24.6034,104.793,58.11,41.89
7d 5c 3c,100,49.05,20.2822,91.8927,50.95,23.2177,101.262,42.54,57.46
7d 5c 4c,100,50.28,21.2042,93.7155,49.72,22.2958,99.6508,33.41,66.59
7d 6c 2c,100,47.81,18.6387,86.6397,52.19,24.8613,105.851,60.92,39.08
7d 6c 3c,100,49.22,20.5356,92.7175,50.78,22.9644,100.494,35.91,64.09
7d 6c 4c,100,50.60,21.4561,94.2254,49.40,22.0439,99.1673,29.91,70.09
7d 6c 5c,100,51.26,21.8058,94.5283,48.74,21.6942,98.9156,26.72,73.28
7h 7d 2c,100,43.99,17.9905,90.8721,56.01,25.5095,101.218,46.91,53.09
7h 7d 3c,100,44.62,18.3826,91.5441,55.38,25.1174,100.794,43.69,56.31
7h 7d 4c,100,45.79,18.9023,91.7374,54.21,24.5976,100.83,43.63,56.37
7h 7d 5c,100,46.26,18.844,90.5181,53.74,24.656,101.96,48.03,51.97
7h 7d 6c,100,46.28,18.9752,91.1074,53.72,24.5248,101.456,46.31,53.69
7h 2d 2c,100,43.60,15.5012,79.0079,56.40,27.9988,110.317,89.02,10.98
7h 3d 3c,100,44.31,16.4108,82.3004,55.69,27.0892,108.098,75.94,24.06
7h 3d 2c,100,45.77,17.9732,87.2663,54.23,25.5268,104.6,59.56,40.44
7h 4d 4c,100,46.11,19.088,92.0006,53.89,24.412,100.658,42.63,57.37
7h 4d 2c,100,47.21,19.1341,90.073,52.79,24.3659,102.562,48.46,51.54
7h 4d 3c,100,48.90,21.2484,96.5523,51.10,22.2516,96.7759,23.27,76.73
7h 5d 5c,100,46.78,19.6158,93.1819,53.22,23.8841,99.7294,37.86,62.14
7h 5d 2c,100,47.75,19.1777,89.2517,52.25,24.3222,103.443,51.33,48.67
7h 5d 3c,100,49.13,20.8981,94.5241,50.87,22.6019,98.7357,32.15,67.85
7h 5d 4c,100,50.73,22.2365,97.4019,49.27,21.2635,95.9094,18.71,81.29
7h 6d 6c,100,46.50,19.1001,91.2849,53.50,24.3999,101.343,44.38,55.62
7h 6d 2c,100,47.90,19.1095,88.6522,52.10,24.3905,104.035,51.51,48.49
7h 6d 3c,100,49.29,21.1324,95.274,50.71,22.3676,98.0201,26.17,73.83
7h 6d 4c,100,50.91,22.2809,97.2651,49.09,21.2191,96.0459,17.16,82.84
7h 6d 5c,100,51.69,22.6775,97.4858,48.31,20.8225,95.7899,13.33,86.67
8c 2d 2c,100,43.21,15.7928,81.2255,56.79,27.7072,108.414,89.37,10.63
8c 3c 2c,100,45.51,17.1669,83.8176,54.49,26.3331,107.4,89.68,10.32
8c 3c 2d,100,45.14,17.6203,86.7527,54.86,25.8797,104.822,66.60,33.40
8c 3d 3c,100,43.31,16.0275,82.23,56.69,27.4725,107.697,84.83,15.17
8c 3d 2c,100,45.16,17.6578,86.8944,54.84,25.8422,104.713,66.22,33.78
8c 4c 2c,100,46.50,17.5059,83.6666,53.50,25.9941,107.964,88.38,11.62
8c 4c 2d,100,46.62,18.7024,89.157,53.38,24.7976,103.224,55.71,44.29
8c 4c 3c,100,46.43,17.2822,82.7095,53.57,26.2178,108.765,92.90,7.10
8c 4c 3d,100,46.66,18.5345,88.2765,53.34,24.9655,104.005,58.97,41.03
8c 4d 4c,100,45.33,18.7668,91.9949,54.67,24.7331,100.541,42.25,57.75
8c 4d 2c,100,46.59,18.6516,88.9635,53.41,24.8483,103.386,56.62,43.38
8c 4d 3c,100,46.61,18.4499,87.9615,53.39,25.0501,104.267,60.21,39.79
8c 5c 2c,100,47.05,17.8085,84.1116,52.95,25.6915,107.822,85.69,14.31
8c 5c 2d,100,47.24,19.0043,89.4021,52.76,24.4957,103.17,55.43,44.57
8c 5c 3c,100,46.99,17.6201,83.3245,53.01,25.8799,108.494,89.94,10.06
8c 5c 3d,100,47.26,18.8595,88.6766,52.74,24.6405,103.827,57.96,42.04
8c 5c 4c,100,48.37,18.5164,85.0671,51.63,24.9836,107.534,75.78,24.22
8c 5c 4d,100,49.49,21.0515,94.5223,50.51,22.4485,98.7677,32.48,67.52
8c 5d 5c,100,46.15,19.4144,93.49,53.85,24.0855,99.3888,36.70,63.30
8c 5d 2c,100,47.14,18.7763,88.513,52.86,24.7236,103.938,58.63,41.37
8c 5d 3c,100,47.14,18.5986,87.6707,52.86,24.9013,104.69,61.63,38.37
8c 5d 4c,100,49.42,20.8907,93.9342,50.58,22.6092,99.3363,34.72,65.28
8c 6c 2c,100,47.01,17.4201,82.3454,52.99,26.0799,109.372,90.98,9.02
8c 6c 2d,100,47.45,18.8184,88.13,52.55,24.6816,104.375,57.94,42.06
8c 6c 3c,100,47.04,17.5694,82.9926,52.96,25.9306,108.814,88.57,11.43
8c 6c 3d,100,47.34,18.8341,88.4103,52.66,24.6658,104.089,57.02,42.98
8c 6c 4c,100,48.49,18.6439,85.4463,51.51,24.856,107.228,75.23,24.77
8c 6c 4d,100,49.37,20.5723,92.6013,50.63,22.9277,100.631,40.18,59.82
8c 6c 5c,100,49.03,19.313,87.5328,50.97,24.1869,105.453,66.43,33.57
