Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\LJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 46 freq,CALL freq,FOLD freq
8c 7d 4c,39.2129,45.55,15.7598,76.8842,54.45,38.7402,127.054,17.27,62.31,20.42
8c 7d 5c,42.4709,46.31,16.4819,79.0936,53.69,38.0181,126.442,17.31,63.02,19.68
8c 7d 6c,39.0305,46.19,15.8849,76.4239,53.81,38.6151,128.145,15.22,66.92,17.86
8d 8c 2c,46.4449,41.40,14.7645,79.2446,58.60,39.7355,121.093,23.84,42.56,33.60
8d 8c 3c,50.4469,41.65,14.833,79.1367,58.35,39.667,121.4,23.55,43.71,32.74
8d 8c 4c,45.1061,42.23,14.9411,78.6288,57.77,39.5589,122.273,22.81,47.23,29.96
8d 8c 5c,56.9203,42.95,15.361,79.4685,57.05,39.139,122.519,22.10,50.97,26.93
8d 8c 6c,56.5371,43.27,15.3755,78.9557,56.73,39.1245,123.164,21.58,52.71,25.71
8d 8c 7c,56.8478,43.30,15.2575,78.3103,56.70,39.2425,123.583,21.89,53.26,24.85
8h 8d 8c,99.9991,39.82,13.1264,73.2601,60.18,41.3736,122.761,13.10,54.94,31.96
8d 3c 2c,74.3668,43.19,15.2858,78.6474,56.81,39.2142,123.264,21.61,52.61,25.78
8d 4c 2c,58.6753,43.48,15.3447,78.4196,56.52,39.1553,123.716,20.67,54.41,24.92
8d 4c 3c,61.8432,43.82,15.3906,78.0486,56.18,39.1094,124.313,19.80,56.03,24.18
8d 5c 2c,64.4698,44.27,15.5738,78.1696,55.73,38.9262,124.736,19.38,57.77,22.85
8d 5c 3c,66.8414,44.61,15.6549,77.9826,55.39,38.8451,125.234,18.37,59.49,22.14
8d 5c 4c,45.5076,45.23,15.9422,78.3324,54.77,38.5578,125.706,18.20,59.23,22.57
8d 6c 2c,70.711,45.01,15.7115,77.5674,54.99,38.7885,125.964,18.27,61.38,20.35
8d 6c 3c,65.3341,45.09,15.7253,77.5042,54.91,38.7747,126.094,17.92,61.35,20.73
8d 6c 4c,46.8882,45.70,16.0655,78.124,54.30,38.4345,126.391,17.37,62.18,20.45
8d 6c 5c,42.7243,46.11,16.4686,79.3612,53.89,38.0314,126.032,16.66,63.43,19.91
8d 7c 2c,69.0251,44.77,15.4691,76.7893,55.23,39.0309,126.188,19.21,59.28,21.51
8d 7c 3c,70.3734,45.15,15.5785,76.6691,54.85,38.9215,126.722,18.23,61.40,20.36
8d 7c 4c,38.7065,45.59,15.8018,77.0182,54.41,38.6982,127.013,17.27,62.25,20.48
8d 7c 5c,42.3206,46.31,16.5044,79.1935,53.69,37.9956,126.378,17.32,62.93,19.75
8d 7c 6c,40.6584,46.19,15.911,76.5414,53.81,38.589,128.07,15.16,66.93,17.91
8h 8d 2c,52.2262,41.01,14.5787,78.9906,58.99,39.9213,120.856,24.70,42.70,32.59
8h 8d 3c,54.4568,41.30,14.6224,78.6803,58.70,39.8777,121.31,24.67,43.63,31.70
8h 8d 4c,50.505,41.87,14.6805,77.9162,58.13,39.8195,122.322,23.26,48.39,28.35
8h 8d 5c,62.1943,42.72,15.2012,79.0829,57.28,39.2988,122.505,23.73,49.64,26.63
