Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 152 freq,CHECK freq
7c 5c 2d,100,51.71,114.981,96.6688,48.29,113.519,102.217,55.30,44.70
7c 5c 3c,100,51.13,107.122,91.0982,48.87,121.378,107.977,0.33,99.67
7c 5c 3d,100,51.02,105.244,89.6831,48.98,123.256,109.416,41.93,58.07
7c 5c 4c,100,50.69,105.287,90.3022,49.31,123.212,108.647,0.00,100.00
7c 5c 4d,100,50.62,101.528,87.2086,49.38,126.972,111.79,35.05,64.95
7c 5d 5c,100,52.55,117.114,96.8971,47.45,111.386,102.061,58.72,41.28
7c 5d 2c,100,51.61,113.665,95.7639,48.39,114.835,103.169,53.55,46.45
7c 5d 3c,100,50.90,103.935,88.7841,49.10,124.565,110.298,39.31,60.69
7c 5d 4c,100,50.58,101.137,86.9368,49.42,127.363,112.05,34.19,65.81
7c 6c 2c,100,51.22,108.899,92.4315,48.78,119.601,106.611,0.07,99.93
7c 6c 2d,100,51.21,107.606,91.3661,48.79,120.894,107.724,48.56,51.44
7c 6c 3c,100,49.89,101.199,88.1883,50.11,127.3,110.46,0.00,100.00
7c 6c 3d,100,49.62,91.7139,80.3619,50.38,136.786,118.047,29.97,70.03
7c 6c 4c,100,50.37,104.606,90.289,49.63,123.894,108.542,0.00,100.00
7c 6c 4d,100,49.95,96.9982,84.4232,50.05,131.502,114.245,33.22,66.78
7c 6c 5c,100,49.05,98.4866,87.2927,50.95,130.013,110.955,0.00,100.00
7c 6c 5d,100,48.35,84.4776,75.9661,51.65,144.022,121.236,13.21,86.79
7c 6d 6c,100,52.62,116.734,96.4454,47.38,111.766,102.572,64.24,35.76
7c 6d 2c,100,51.38,109.253,92.4561,48.62,119.247,106.63,49.17,50.83
7c 6d 3c,100,49.75,92.8291,81.1216,50.25,135.671,117.395,30.66,69.34
7c 6d 4c,100,50.16,98.7064,85.5558,49.84,129.794,113.229,35.06,64.94
7c 6d 5c,100,48.58,86.0046,76.9677,51.42,142.495,120.494,17.90,82.10
7d 7c 2c,100,53.73,128.25,103.77,46.27,100.25,94.2114,64.49,35.51
7d 7c 3c,100,53.13,120.743,98.805,46.87,107.757,99.963,59.01,40.99
7d 7c 4c,100,53.01,122.684,100.616,46.99,105.816,97.9173,63.07,36.93
7d 7c 5c,100,52.77,120.793,99.5298,47.23,107.707,99.1443,62.28,37.72
7d 7c 6c,100,52.72,118.264,97.5237,47.28,110.236,101.382,66.21,33.79
7h 7d 7c,100,55.57,154.982,121.266,44.43,73.5183,71.9378,80.87,19.13
7d 3c 2c,100,52.35,114.833,95.3806,47.65,113.667,103.705,54.79,45.21
7d 4c 2c,100,52.11,116.91,97.5509,47.89,111.59,101.302,57.12,42.88
7d 4c 3c,100,50.74,100.903,86.4539,49.26,127.597,112.631,36.20,63.80
7d 5c 2c,100,51.67,114.389,96.2608,48.33,114.111,102.647,54.82,45.18
7d 5c 3c,100,50.96,104.577,89.2311,49.04,123.923,109.859,40.36,59.64
7d 5c 4c,100,50.41,99.713,86.0099,49.60,128.787,112.903,32.99,67.01
7d 6c 2c,100,51.41,109.622,92.7021,48.59,118.878,106.38,49.62,50.38
7d 6c 3c,100,49.79,93.244,81.425,50.21,135.256,117.12,30.95,69.05
7d 6c 4c,100,50.20,99.1795,85.8988,49.80,129.321,112.905,35.26,64.74
7d 6c 5c,100,48.48,85.5625,76.7312,51.52,142.938,120.632,15.32,84.68
7h 7d 2c,100,54.37,136.322,109.008,45.63,92.1784,87.8363,72.05,27.95
7h 7d 3c,100,53.79,128.777,104.083,46.21,99.7229,93.8347,67.26,32.74
7h 7d 4c,100,53.52,129.158,104.92,46.48,99.3418,92.9309,67.89,32.11
7h 7d 5c,100,53.20,126.668,103.512,46.80,101.831,94.6133,67.70,32.30
7h 7d 6c,100,53.50,128.148,104.148,46.50,100.352,93.8256,74.58,25.42
7h 2d 2c,100,54.34,140.626,112.51,45.66,87.8739,83.6812,68.30,31.70
7h 3d 3c,100,54.25,138.184,110.744,45.75,90.3155,85.8331,69.46,30.54
7h 3d 2c,100,52.95,121.307,99.6152,47.05,107.193,99.0466,56.88,43.12
7h 4d 4c,100,53.44,128.652,104.662,46.56,99.8475,93.247,67.55,32.45
7h 4d 2c,100,52.57,122.272,101.126,47.43,106.228,97.3762,56.17,43.83
7h 4d 3c,100,51.16,103.917,88.3172,48.84,124.583,110.901,46.79,53.21
7h 5d 5c,100,53.00,122.746,100.702,47.00,105.753,97.8205,66.73,33.27
7h 5d 2c,100,52.04,118.876,99.3118,47.96,109.624,99.3866,55.36,44.64
7h 5d 3c,100,51.35,107.781,91.2542,48.65,120.719,107.891,49.05,50.95
7h 5d 4c,100,50.95,102.903,87.8173,49.05,125.597,111.323,43.90,56.10
7h 6d 6c,100,53.41,126.596,103.062,46.59,101.904,95.0908,74.58,25.42
7h 6d 2c,100,51.79,113.031,94.8839,48.21,115.469,104.144,54.35,45.65
7h 6d 3c,100,50.09,93.3967,81.0731,49.91,135.103,117.686,40.55,59.45
7h 6d 4c,100,50.46,99.4299,85.6794,49.54,129.07,113.268,41.88,58.12
7h 6d 5c,100,48.71,83.745,74.7554,51.29,144.755,122.7,24.79,75.21
8c 2d 2c,100,53.18,131.749,107.718,46.82,96.751,89.8412,60.16,39.84
8c 3c 2c,100,51.79,111.657,93.7445,48.21,116.843,105.366,7.73,92.27
8c 3c 2d,100,51.78,114.061,95.7674,48.22,114.439,103.193,53.32,46.68
8c 3d 3c,100,53.44,130.817,106.427,46.56,97.6829,91.2216,60.53,39.47
8c 3d 2c,100,51.81,114.304,95.9238,48.19,114.196,103.029,53.50,46.50
8c 4c 2c,100,51.67,113.551,95.5497,48.33,114.949,103.409,16.65,83.35
8c 4c 2d,100,51.35,115.591,97.8638,48.65,112.908,100.915,55.17,44.83
8c 4c 3c,100,51.36,110.493,93.533,48.64,118.007,105.489,9.39,90.61
