Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\BTNvBB\Th9d8c.cfr
Action Line,Root CHECK BET 12 RAISE 50
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 975 freq,CALL freq,FOLD freq
7d 5c 4c,5.62315,55.52,85.9159,138.161,44.48,24.5842,74.6939,0.00,65.28,34.72
7d 6c 2c,8.85081,53.30,85.6886,143.554,46.70,24.8114,71.7894,0.00,66.34,33.66
7d 6c 3c,7.95935,54.33,85.4461,140.432,45.67,25.0539,74.1266,0.00,67.59,32.41
7d 6c 4c,3.42534,55.95,86.7914,138.502,44.05,23.7086,72.7329,0.03,66.30,33.67
7d 6c 5c,5.85589,55.73,85.3635,136.759,44.27,25.1365,76.7316,0.00,67.87,32.13
7h 7d 2c,9.87224,49.15,86.6761,157.449,50.85,23.8239,63.3151,0.00,68.53,31.47
7h 7d 3c,9.59293,50.37,86.2034,152.816,49.63,24.2966,66.1509,0.00,68.22,31.78
7h 7d 4c,9.12576,50.92,86.0865,150.942,49.08,24.4135,67.222,0.00,67.96,32.04
7h 7d 5c,8.62484,51.79,85.7657,147.866,48.21,24.7344,69.3282,0.00,66.55,33.45
7h 7d 6c,10.3634,51.54,86.0011,148.998,48.46,24.4989,68.3112,0.00,66.92,33.08
7h 2d 2c,9.57722,52.10,87.3326,149.664,47.90,23.1675,65.3604,0.00,70.29,29.71
7h 3d 3c,9.94533,51.70,85.5487,147.752,48.30,24.9513,69.8046,0.00,69.78,30.22
7h 3d 2c,7.91677,52.11,85.7919,146.988,47.89,24.7081,69.7254,0.00,71.07,28.93
7h 4d 4c,8.02503,50.88,86.266,151.39,49.12,24.234,66.6671,0.00,68.48,31.52
7h 4d 2c,6.2897,51.36,86.2348,149.904,48.64,24.2652,67.4195,0.00,70.30,29.70
7h 4d 3c,6.98062,51.80,84.9532,146.442,48.20,25.5468,71.6176,0.00,70.39,29.61
7h 5d 5c,7.7726,51.81,85.87,147.971,48.19,24.6299,69.0734,0.00,66.71,33.29
7h 5d 2c,6.00578,51.33,85.7587,149.173,48.67,24.7413,68.6953,0.00,69.19,30.81
7h 5d 3c,4.98181,52.95,86.5653,145.963,47.05,23.9347,68.7475,0.00,68.48,31.52
7h 5d 4c,5.40791,54.64,86.2421,140.922,45.36,24.258,72.271,0.00,66.74,33.26
7h 6d 6c,11.3101,52.01,85.2142,146.28,47.99,25.2858,71.2065,0.00,67.10,32.90
7h 6d 2c,8.1838,51.76,85.5946,147.657,48.24,24.9054,69.764,0.00,69.42,30.58
7h 6d 3c,8.45056,52.91,84.5282,142.639,47.09,25.9718,74.5334,0.00,70.51,29.49
7h 6d 4c,3.2625,55.05,87.1941,141.42,44.95,23.3059,70.0653,0.00,67.81,32.19
7h 6d 5c,5.76442,55.39,85.1068,137.177,44.61,25.3932,76.9303,0.00,69.61,30.39
8c 2d 2c,13.3865,54.06,87.5015,144.52,45.94,22.9985,67.6502,0.00,66.37,33.63
8c 3c 2c,8.47794,56.14,89.2857,141.994,43.86,21.2143,65.3668,0.00,56.22,43.78
8c 3c 2d,11.2472,53.83,86.3589,143.247,46.17,24.1411,70.6547,0.00,66.59,33.41
8c 3d 3c,13.3236,54.10,86.7694,143.214,45.90,23.7306,69.8594,0.00,65.65,34.35
8c 3d 2c,11.182,53.83,86.4791,143.448,46.17,24.0209,70.302,0.00,66.65,33.35
8c 4c 2c,8.52665,55.73,89.3349,143.135,44.27,21.165,64.6008,0.00,56.55,43.45
8c 4c 2d,9.89293,53.17,86.1031,144.596,46.83,24.397,70.3973,0.00,66.77,33.23
8c 4c 3c,8.38397,56.59,89.2468,140.804,43.41,21.2532,66.1651,0.00,56.49,43.51
8c 4c 3d,10.1167,53.37,86.3688,144.505,46.64,24.1312,69.9254,0.00,66.55,33.45
8c 4d 4c,10.1291,53.88,86.7057,143.695,46.13,23.7943,69.7116,0.00,65.30,34.70
8c 4d 2c,9.64555,53.28,86.2823,144.6,46.72,24.2177,70.0433,0.00,66.63,33.37
8c 4d 3c,9.88039,53.47,86.4629,144.379,46.53,24.037,69.8094,0.00,66.49,33.51
8c 5c 2c,7.32371,55.72,89.0359,142.672,44.28,21.4641,65.5046,0.00,56.64,43.36
8c 5c 2d,8.17934,52.48,86.5902,147.316,47.52,23.9098,67.995,0.00,66.89,33.11
8c 5c 3c,7.44465,56.84,88.952,139.732,43.16,21.548,67.4654,0.00,56.50,43.50
8c 5c 3d,8.40225,52.94,86.7494,146.317,47.06,23.7506,68.1954,0.00,66.72,33.28
8c 5c 4c,7.65125,56.12,87.7821,139.648,43.88,22.718,69.9702,0.00,58.99,41.01
8c 5c 4d,7.32327,53.66,85.9763,143.048,46.34,24.5237,71.5206,0.00,67.75,32.25
8c 5d 5c,9.64225,53.05,86.7349,145.992,46.95,23.7651,68.3963,0.00,64.76,35.24
8c 5d 2c,8.621,52.55,86.6554,147.236,47.45,23.8446,67.9068,0.00,66.93,33.07
8c 5d 3c,9.03784,53.06,86.7658,146.015,46.94,23.7342,68.3222,0.00,66.86,33.14
8c 5d 4c,7.95312,53.80,86.0275,142.772,46.20,24.4725,71.5807,0.00,68.05,31.95
8c 6c 2c,8.21678,54.51,88.3684,144.732,45.49,22.1316,65.752,0.00,57.05,42.95
8c 6c 2d,9.52635,52.12,86.2413,147.75,47.88,24.2587,68.4613,0.00,66.77,33.23
8c 6c 3c,8.54208,55.67,88.2481,141.538,44.33,22.2519,67.8314,0.00,56.64,43.36
