Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15 RAISE 60 RAISE 970
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
7h 3d 3c,0.00009,89.34,1126.4,115.672,10.66,-64.3602,-335.352,20.84,79.16
7h 3d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 4d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 5d 5c,0.00007,86.77,1110.07,117.365,13.23,-43.2522,-181.665,15.59,84.41
7h 5d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 5d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 5d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 6d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 6d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 6d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 6d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 6d 5c,0,89.88,1185.79,121.031,10.11,-129.52,-711.394,27.18,72.82
8c 2d 2c,0.00003,88.23,1156.32,120.238,11.77,-92.393,-435.997,18.77,81.23
8c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 3c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 3d 3c,0.00002,87.90,1145.36,119.544,12.10,-80.5508,-369.824,17.79,82.21
8c 3d 2c,0.00377,68.79,1023.44,136.497,31.21,38.7678,69.0074,20.65,79.35
8c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 4c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 4c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 4c 3d,0.00105,66.64,1018.26,140.192,33.36,43.4122,72.2885,21.24,78.76
8c 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 4d 2c,0.00326,68.92,1022.7,136.136,31.08,39.6378,70.8536,20.51,79.49
8c 4d 3c,0.00153,68.78,1022.35,136.377,31.22,39.7077,70.6489,20.81,79.19
8c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 5c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 5c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 5c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 5c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 5c 4d,0.00008,69.14,1031.09,136.81,30.86,26.2261,47.2183,26.03,73.97
8c 5d 5c,0.00005,84.93,1105.71,119.439,15.07,-37.5318,-138.385,14.08,85.92
8c 5d 2c,0.00082,68.34,1018.28,136.7,31.66,44.0077,77.2217,20.57,79.43
8c 5d 3c,0.00342,68.96,1021.87,135.95,31.04,40.7105,72.8613,20.24,79.76
8c 5d 4c,0.00036,69.66,1028.8,135.487,30.34,28.9439,53.0053,25.56,74.44
8c 6c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 3d,0.00127,65.49,1016.7,142.436,34.52,46.2265,74.4055,19.87,80.13
8c 6c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 4d,0.00262,63.59,1020.2,147.193,36.41,37.8221,57.7055,25.26,74.74
8c 6c 5c,0.00001,90.51,1130.53,114.593,9.49,-68.2475,-399.485,20.57,79.43
8c 6c 5d,0.00029,67.96,1021.1,137.837,32.04,35.6293,61.7869,26.67,73.33
8c 6d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 6d 2c,0.00072,71.14,1029.1,132.707,28.86,35.2263,67.821,18.32,81.68
8c 6d 3c,0.00141,70.53,1028.19,133.739,29.47,36.1475,68.149,18.32,81.68
8c 6d 4c,0.00205,64.77,1019.1,144.342,35.23,38.4893,60.7018,25.73,74.27
8c 6d 5c,0.00003,70.13,1026.8,134.323,29.87,30.9531,57.5721,25.54,74.46
8c 7c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7c 4d,0.0025,62.97,1022.84,149.02,37.03,34.0058,51.0189,26.55,73.45
8c 7c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7c 5d,0.00016,66.78,1023.49,140.615,33.22,33.2912,55.668,26.62,73.38
8c 7c 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7c 6d,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7d 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 7d 2c,0.00022,71.06,1027.18,132.608,28.94,35.3026,67.7803,20.35,79.65
