Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\Th9d8c.cfr
Action Line,Root BET 152 RAISE 880
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
7d 6c 4c,2.20948,44.12,222.175,94.3012,55.88,1038.32,147.237,55.45,44.55
7d 6c 5c,0.86227,42.60,207.84,91.3699,57.40,1052.66,145.311,55.53,44.47
7h 7d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 7d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 7d 4c,0.00038,48.02,311.597,121.521,51.98,948.903,144.645,47.28,52.72
7h 7d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 7d 6c,3.01769,51.75,317.473,114.89,48.25,943.027,154.86,50.30,49.70
7h 2d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 3d 2c,0.00074,49.92,354.367,132.936,50.08,906.139,143.373,49.83,50.17
7h 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 4d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 5d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 5d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 5d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 5d 4c,0.01733,48.52,306.184,118.184,51.48,954.315,146.878,48.13,51.87
7h 6d 6c,2.45193,51.39,309.181,112.67,48.61,951.318,155.069,50.11,49.89
7h 6d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
7h 6d 3c,0.23297,46.90,271.855,108.546,53.10,988.645,147.535,47.88,52.12
7h 6d 4c,1.6338,45.18,248.711,103.077,54.82,1011.79,146.261,48.69,51.31
7h 6d 5c,1.85111,46.50,254.014,102.298,53.50,1006.49,149.071,51.89,48.11
8c 2d 2c,0.00173,40.25,164.998,76.7604,59.75,1095.5,145.291,47.22,52.78
8c 3c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 3c 2d,1.10264,43.34,225.564,97.4667,56.66,1034.94,144.732,50.33,49.67
8c 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 3d 2c,1.01763,43.33,225.328,97.3906,56.67,1035.17,144.736,50.30,49.70
8c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
8c 4c 2d,1.20969,46.83,281.618,112.605,53.17,978.88,145.893,49.75,50.25
