Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\HJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11 RAISE 46
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 980 freq,CALL freq,FOLD freq
8c 4c 2c,9.44927,53.42,80.6354,147.984,46.58,19.8646,63.6527,0.00,55.42,44.58
8c 4c 2d,11.1799,52.64,78.261,145.768,47.36,22.239,70.0796,0.00,65.76,34.24
8c 4c 3c,9.86537,53.74,80.5765,146.984,46.25,19.9235,64.2885,0.00,55.27,44.73
8c 4c 3d,11.5892,52.62,78.2221,145.745,47.38,22.2779,70.1759,0.00,65.60,34.40
8c 4d 4c,9.92784,52.82,77.3079,143.486,47.18,23.1921,73.371,0.00,63.83,36.17
8c 4d 2c,11.2557,52.55,78.3182,146.104,47.45,22.1818,69.778,0.00,65.84,34.16
8c 4d 3c,11.7715,52.59,78.2462,145.88,47.41,22.2538,70.0521,0.00,65.66,34.34
8c 5c 2c,8.58035,54.29,81.0734,146.4,45.71,19.4266,63.4357,0.00,55.64,44.36
8c 5c 2d,10.5651,52.55,78.1574,145.8,47.45,22.3426,70.2857,0.00,65.37,34.63
8c 5c 3c,9.02468,54.94,81.1451,144.794,45.06,19.3549,64.1136,0.00,55.41,44.59
8c 5c 3d,10.8846,52.57,78.1396,145.712,47.43,22.3604,70.3707,0.00,65.23,34.77
8c 5c 4c,5.58754,54.95,81.3167,145.094,45.05,19.1833,63.5487,0.00,57.75,42.25
8c 5c 4d,5.46752,53.21,78.893,145.357,46.79,21.607,68.9252,0.00,64.29,35.71
8c 5d 5c,8.53099,53.05,76.9725,142.244,46.95,23.5275,74.7966,0.00,62.71,37.29
8c 5d 2c,11.0238,52.60,78.17,145.706,47.40,22.33,70.3091,0.00,65.45,34.55
8c 5d 3c,11.3929,52.65,78.1373,145.488,47.35,22.3627,70.4963,0.00,65.35,34.65
8c 5d 4c,5.81548,53.27,78.8952,145.202,46.73,21.6048,69.0042,0.00,64.28,35.72
8c 6c 2c,8.47664,52.48,80.8657,151.081,47.52,19.6343,61.6626,0.00,56.37,43.63
8c 6c 2d,10.7219,52.52,77.9309,145.462,47.48,22.5691,70.9521,0.00,65.98,34.02
8c 6c 3c,8.503,52.82,80.8248,150.013,47.18,19.6752,62.2453,0.00,56.49,43.51
8c 6c 3d,10.5734,52.37,77.9905,145.993,47.63,22.5095,70.5406,0.00,65.78,34.22
8c 6c 4c,5.78148,54.28,82.2802,148.611,45.72,18.2198,59.4793,0.00,57.90,42.10
8c 6c 4d,6.45774,53.38,79.2027,145.464,46.62,21.2973,68.1841,0.00,65.61,34.39
8c 6c 5c,5.67036,55.72,82.4148,145.003,44.28,18.0851,60.9626,0.00,57.69,42.31
