Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root CHECK
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 15 freq,CHECK freq
8c 6d 6c,81.3608,53.23,24.1267,75.5405,46.77,28.1057,100.158,58.90,41.10
8c 6d 2c,73.8223,51.43,22.7511,73.7349,48.57,29.1304,99.9512,53.92,46.08
8c 6d 3c,76.0272,51.38,22.6933,73.6093,48.62,29.1807,100.035,54.34,45.66
8c 6d 4c,94.479,51.11,22.6537,73.8756,48.89,29.2169,99.5966,55.16,44.84
8c 6d 5c,99.7125,50.67,22.1732,72.9275,49.33,29.695,100.336,59.20,40.80
8c 7c 2c,36.8237,48.70,22.8883,78.3336,51.30,30.3633,98.6432,45.52,54.48
8c 7c 2d,64.7087,50.63,22.7569,74.9185,49.37,29.2699,98.8033,50.25,49.75
8c 7c 3c,42.3179,49.18,23.0572,78.134,50.82,30.1103,98.7545,46.15,53.85
8c 7c 3d,65.9342,50.52,22.6776,74.807,49.48,29.333,98.8138,50.15,49.85
8c 7c 4c,57.6913,49.02,22.9221,77.9386,50.98,30.1457,98.5489,49.13,50.87
8c 7c 4d,88.0282,50.65,22.8756,75.2707,49.35,28.9916,97.9153,53.08,46.92
8c 7c 5c,66.478,49.80,23.3267,78.0639,50.20,29.6929,98.5874,48.12,51.88
8c 7c 5d,75.542,50.36,22.8085,75.4778,49.64,29.2423,98.1905,50.68,49.32
8c 7c 6c,53.0653,48.52,22.601,77.6328,51.48,30.6466,99.221,47.33,52.67
8c 7c 6d,71.6863,50.08,22.7381,75.6679,49.92,29.6006,98.833,48.90,51.10
8c 7d 7c,90.3078,52.73,24.0952,76.1572,47.27,28.1961,99.4183,57.53,42.47
8c 7d 2c,62.7582,50.55,22.7201,74.9145,49.45,29.339,98.8782,50.40,49.60
8c 7d 3c,65.2242,50.47,22.6245,74.7098,49.53,29.4056,98.9526,50.57,49.43
8c 7d 4c,89.3783,50.60,22.8366,75.2174,49.40,29.0482,98.0062,53.42,46.58
8c 7d 5c,79.3546,50.40,22.7757,75.324,49.60,29.2738,98.3565,51.32,48.68
8c 7d 6c,72.4041,50.08,22.728,75.6399,49.92,29.6197,98.8895,49.01,50.99
8d 8c 2c,49.0006,53.65,23.7959,73.9193,46.35,28.5424,102.641,62.40,37.60
8d 8c 3c,52.3376,53.62,23.8157,74.0319,46.38,28.5155,102.461,62.35,37.65
8d 8c 4c,60.6774,53.39,23.8557,74.4759,46.61,28.4314,101.655,61.00,39.00
8d 8c 5c,65.8737,52.80,23.7015,74.8128,47.20,28.5563,100.838,60.63,39.37
8d 8c 6c,66.6377,52.99,23.9206,75.2332,47.01,28.3499,100.515,59.57,40.43
8d 8c 7c,65.2396,52.28,23.8291,75.9623,47.72,28.4813,99.4794,56.56,43.44
8h 8d 8c,6.93308,53.05,22.037,69.236,46.95,29.9502,106.315,51.97,48.03
8d 3c 2c,52.4732,51.33,22.6142,73.4238,48.67,29.4198,100.751,54.71,45.29
8d 4c 2c,62.2109,51.38,22.4977,72.9812,48.62,29.423,100.856,54.36,45.64
8d 4c 3c,65.0051,51.36,22.5084,73.0343,48.63,29.4132,100.796,54.40,45.60
8d 5c 2c,67.333,51.02,22.4026,73.1838,48.98,29.4458,100.195,54.04,45.96
8d 5c 3c,68.8672,51.07,22.4199,73.1711,48.93,29.424,100.219,54.98,45.02
8d 5c 4c,97.8722,51.16,22.3555,72.8275,48.84,29.4827,100.612,56.19,43.81
8d 6c 2c,73.9777,51.41,22.729,73.687,48.59,29.1468,99.9735,53.91,46.09
8d 6c 3c,76.3455,51.37,22.6738,73.5579,48.63,29.1935,100.062,54.31,45.69
8d 6c 4c,93.6131,51.13,22.6926,73.9637,48.87,29.1979,99.5862,54.70,45.30
8d 6c 5c,99.6777,50.77,22.2848,73.1625,49.23,29.5997,100.2,57.94,42.06
8d 7c 2c,63.0833,50.52,22.6957,74.8672,49.48,29.3624,98.912,50.32,49.68
