Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\BTNvBB\Th9d8c.cfr
Action Line,Root CHECK BET 12
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 50 freq,CALL freq,FOLD freq
8c 5c 4c,58.6153,47.21,18.4693,78.2413,52.79,42.0307,128.42,13.05,64.08,22.87
8c 5c 4d,44.2202,46.08,16.8043,72.9296,53.92,43.6957,130.715,16.56,65.96,17.47
8c 5d 5c,48.0621,45.31,17.2444,76.1107,54.69,43.2556,127.578,20.06,57.81,22.13
8c 5d 2c,46.9712,45.63,16.9306,74.2053,54.37,43.5694,129.254,18.35,62.07,19.58
8c 5d 3c,48.0528,45.76,16.9313,74.0078,54.24,43.5687,129.547,18.81,60.86,20.33
8c 5d 4c,48.5628,46.12,16.8,72.8465,53.88,43.7,130.827,16.38,66.31,17.32
8c 6c 2c,61.5731,47.09,18.7768,79.7469,52.91,41.7232,127.191,13.34,61.00,25.66
8c 6c 2d,52.5535,45.78,16.8846,73.7683,54.22,43.6154,129.738,18.13,62.64,19.24
8c 6c 3c,60.8597,47.15,18.7481,79.5217,52.85,41.7519,127.426,14.04,59.59,26.37
8c 6c 3d,53.3452,45.93,16.8687,73.4593,54.07,43.6313,130.144,18.95,60.03,21.02
8c 6c 4c,52.2855,47.19,18.5372,78.5587,52.81,41.9629,128.169,13.13,64.35,22.52
8c 6c 4d,38.4384,46.07,16.922,73.4547,53.93,43.578,130.342,16.62,65.55,17.83
8c 6c 5c,41.7666,47.39,18.8193,79.4301,52.61,41.6808,127.774,14.58,62.83,22.59
8c 6c 5d,28.8505,46.19,17.0859,73.9756,53.81,43.4141,130.138,17.32,64.63,18.05
8c 6d 6c,69.4279,45.58,17.3453,76.1077,54.42,43.1547,127.904,20.03,58.37,21.60
8c 6d 2c,54.0642,45.86,16.9858,74.0716,54.14,43.5143,129.642,18.23,62.36,19.41
8c 6d 3c,55.4533,45.97,16.9401,73.7016,54.03,43.5599,130.033,19.11,59.73,21.15
8c 6d 4c,41.3285,46.09,16.9789,73.6836,53.91,43.5211,130.199,16.54,65.74,17.71
8c 6d 5c,27.389,46.21,17.1567,74.2597,53.79,43.3434,129.959,17.38,64.56,18.06
8c 7c 2c,60.1915,46.63,18.4819,79.2737,53.37,42.0181,126.979,12.46,61.49,26.05
8c 7c 2d,57.3344,45.82,16.9472,73.9705,54.18,43.5528,129.658,18.21,60.58,21.21
8c 7c 3c,63.0938,46.79,18.3463,78.4217,53.21,42.1538,127.774,12.65,61.94,25.42
8c 7c 3d,57.9925,46.12,16.8727,73.1699,53.88,43.6273,130.597,18.19,61.16,20.65
8c 7c 4c,60.8533,46.99,18.3601,78.1473,53.01,42.1399,128.213,13.90,63.34,22.76
8c 7c 4d,50.2972,45.96,16.6241,72.3408,54.04,43.8759,130.955,16.03,68.19,15.78
8c 7c 5c,41.1325,47.14,18.5595,78.7382,52.86,41.9405,127.978,14.56,62.45,22.99
8c 7c 5d,35.021,46.46,17.0714,73.4816,53.54,43.4285,130.841,17.36,64.37,18.27
8c 7c 6c,52.7301,46.35,17.7389,76.5442,53.65,42.7612,128.553,13.06,65.37,21.57
8c 7c 6d,46.6119,46.23,17.1107,74.0207,53.77,43.3893,130.157,15.49,67.01,17.50
8c 7d 7c,61.6043,45.37,17.3154,76.3314,54.63,43.1847,127.496,21.40,55.63,22.98
8c 7d 2c,56.893,45.89,17.0389,74.2603,54.11,43.4611,129.547,18.32,60.31,21.37
8c 7d 3c,58.279,46.18,16.9606,73.4551,53.82,43.5394,130.48,18.35,60.82,20.83
8c 7d 4c,52.3157,46.02,16.732,72.7115,53.98,43.768,130.785,16.10,68.14,15.76
8c 7d 5c,32.6695,46.50,17.1759,73.8692,53.50,43.3241,130.621,17.63,63.94,18.43
8c 7d 6c,45.5824,46.24,17.1385,74.1351,53.76,43.3615,130.083,15.48,67.00,17.52
8d 8c 2c,71.8819,45.39,17.2484,75.9999,54.61,43.2516,127.744,19.94,56.40,23.65
8d 8c 3c,74.9388,45.74,17.2304,75.3374,54.26,43.2696,128.625,19.42,57.39,23.19
8d 8c 4c,70.4075,46.02,17.2821,75.1068,53.98,43.2179,129.133,19.14,59.17,21.69
8d 8c 5c,62.4943,45.66,17.3162,75.8501,54.34,43.1838,128.174,20.25,57.33,22.41
8d 8c 6c,70.7068,45.63,17.2867,75.7742,54.37,43.2133,128.186,20.67,56.41,22.92
8d 8c 7c,71.4087,45.54,17.2165,75.6024,54.46,43.2835,128.201,20.87,56.35,22.77
8h 8d 8c,99.9991,45.20,15.4149,68.2004,54.80,45.0851,132.708,6.77,86.00,7.23
8d 3c 2c,63.7488,45.63,16.8588,73.8917,54.37,43.6412,129.466,17.59,62.24,20.17
8d 4c 2c,57.52,46.00,16.9349,73.6359,54.00,43.5651,130.114,17.24,63.97,18.79
8d 4c 3c,53.4527,46.09,16.9601,73.5934,53.91,43.5399,130.268,18.23,61.50,20.26
8d 5c 2c,46.0017,45.62,17.0016,74.5427,54.38,43.4984,129.006,18.49,61.86,19.65
8d 5c 3c,45.2073,45.77,17.005,74.3144,54.24,43.495,129.35,19.01,60.50,20.50
8d 5c 4c,48.7965,46.11,16.8529,73.0929,53.89,43.6471,130.643,16.57,65.93,17.50
8d 6c 2c,54.5354,45.86,17.0047,74.165,54.14,43.4953,129.57,18.19,62.54,19.27
8d 6c 3c,53.867,45.97,16.9525,73.7555,54.03,43.5475,129.997,19.08,59.87,21.05
8d 6c 4c,38.842,46.13,17.013,73.7665,53.87,43.487,130.195,16.66,65.55,17.80
8d 6c 5c,29.7263,46.18,17.1571,74.3067,53.82,43.3429,129.89,17.31,64.66,18.03
8d 7c 2c,57.5584,45.90,17.0717,74.3936,54.10,43.4283,129.464,18.33,60.43,21.24
8d 7c 3c,58.8087,46.16,16.9865,73.5925,53.84,43.5135,130.364,18.37,60.94,20.69
8d 7c 4c,49.6793,46.03,16.7552,72.7944,53.97,43.7448,130.742,16.30,67.78,15.92
8d 7c 5c,33.8311,46.51,17.2065,73.9929,53.49,43.2935,130.541,17.70,63.78,18.52
8d 7c 6c,46.06,46.21,17.1363,74.1703,53.79,43.3637,130.022,15.55,66.97,17.48
8h 8d 2c,80.7515,45.19,16.9321,74.9315,54.81,43.568,128.216,18.48,64.28,17.24
8h 8d 3c,83.1431,45.65,16.9313,74.1849,54.35,43.5687,129.286,18.22,64.25,17.53
8h 8d 4c,75.2877,46.01,17.0074,73.9372,54.00,43.4926,129.918,18.67,63.55,17.78
8h 8d 5c,76.2465,45.60,17.0127,74.6109,54.40,43.4873,128.944,19.28,62.49,18.23
8h 8d 6c,80.8481,45.47,16.9957,74.7516,54.53,43.5044,128.684,18.93,62.50,18.57
8h 8d 7c,77.7785,45.30,16.9165,74.6806,54.70,43.5835,128.52,20.15,60.12,19.73
8h 2d 2c,85.832,45.28,16.8515,74.4347,54.72,43.6485,128.653,14.21,77.79,8.00
8h 3d 3c,84.9306,45.53,16.5495,72.6895,54.47,43.9505,130.152,13.78,77.21,9.01
8h 3d 2c,67.1111,45.25,16.1676,71.4566,54.75,44.3324,130.604,13.83,78.38,7.79
8h 4d 4c,57.9796,45.29,16.6596,73.5639,54.71,43.8404,129.252,17.07,67.85,15.09
