Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\LJvBB\Th9d8c.cfr
Action Line,Root CHECK BET 11 RAISE 46
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 980 freq,CALL freq,FOLD freq
7c 5c 2d,12.9971,51.94,78.7267,148.596,48.06,21.7733,67.6207,0.00,64.96,35.04
7c 5c 3c,7.39909,54.16,82.3113,148.992,45.84,18.1887,59.2253,0.00,56.38,43.62
7c 5c 3d,9.40544,52.77,79.2989,147.315,47.23,21.2011,67.0043,0.00,64.50,35.50
7c 5c 4c,5.74527,55.18,83.0144,147.501,44.82,17.4856,58.224,0.00,56.84,43.16
7c 5c 4d,6.01129,54.41,79.6513,143.523,45.59,20.8487,68.2535,0.00,63.75,36.25
7c 5d 5c,10.8732,52.37,77.8273,145.695,47.63,22.6727,71.0483,0.00,62.96,37.04
7c 5d 2c,13.2875,52.00,78.6336,148.263,48.00,21.8664,67.9878,0.00,65.18,34.82
7c 5d 3c,9.8394,52.74,79.1772,147.175,47.26,21.3228,67.3448,0.00,64.63,35.37
7c 5d 4c,6.05746,54.42,79.7062,143.601,45.58,20.7938,68.0857,0.00,63.82,36.18
7c 6c 2c,8.60004,51.97,79.5918,150.133,48.03,20.9082,64.9785,0.00,55.92,44.08
7c 6c 2d,12.9995,52.23,78.6339,147.597,47.77,21.8661,68.3213,0.00,64.89,35.11
7c 6c 3c,6.91047,52.63,81.34,151.532,47.37,19.16,60.3644,0.00,57.33,42.67
7c 6c 3d,9.3925,52.99,78.9385,146.046,47.01,21.5614,68.4572,0.00,64.91,35.09
7c 6c 4c,5.61344,54.85,83.0415,148.435,45.15,17.4585,57.7102,0.00,56.86,43.14
7c 6c 4d,5.76131,54.63,79.5883,142.836,45.37,20.9117,68.7893,0.02,63.75,36.23
7c 6c 5c,4.53686,55.44,83.1232,147.006,44.56,17.3768,58.1973,0.00,57.17,42.83
7c 6c 5d,3.89557,55.78,78.9647,138.79,44.22,21.5353,72.6867,0.00,62.94,37.06
7c 6d 6c,11.5793,52.57,77.7649,145.031,47.43,22.7352,71.5406,0.00,63.26,36.74
7c 6d 2c,12.6815,52.33,78.6258,147.311,47.67,21.8742,68.4838,0.00,64.95,35.05
7c 6d 3c,9.36941,53.10,78.7481,145.402,46.90,21.7519,69.2182,0.00,65.09,34.91
7c 6d 4c,5.41912,54.75,79.591,142.526,45.25,20.9089,68.9636,0.00,63.91,36.08
7c 6d 5c,3.46032,55.90,78.9102,138.407,44.10,21.5898,73.0618,0.00,63.03,36.97
7d 7c 2c,11.8492,51.95,80.0351,151.035,48.05,20.4649,63.5714,0.00,63.76,36.24
7d 7c 3c,11.3506,51.55,79.5418,151.287,48.45,20.9583,64.5579,0.00,63.97,36.03
7d 7c 4c,9.56491,51.43,79.2428,151.053,48.57,21.2572,65.3247,0.00,63.75,36.25
7d 7c 5c,12.2476,51.78,78.8968,149.392,48.22,21.6032,66.8629,0.00,63.40,36.60
7d 7c 6c,13.0175,52.40,78.5596,146.99,47.60,21.9404,68.7929,0.00,63.38,36.62
7h 7d 7c,11.1202,53.13,86.9975,160.53,46.87,13.5025,42.999,0.00,67.42,32.58
7d 3c 2c,16.6883,51.99,78.7359,148.478,48.01,21.7641,67.6586,0.00,65.85,34.15
7d 4c 2c,12.715,52.07,79.4311,149.565,47.93,21.0689,65.6041,0.00,65.30,34.70
7d 4c 3c,6.67285,52.62,79.2165,147.587,47.38,21.2835,67.0489,0.00,63.75,36.25
7d 5c 2c,12.9817,52.05,78.6901,148.221,47.95,21.8099,67.8858,0.00,65.16,34.84
