Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 60 freq,CALL freq,FOLD freq
8c 4c 3c,63.7392,54.70,44.5248,108.524,45.30,22.1607,81.5395,5.06,78.95,15.98
8c 4c 3d,30.2514,55.89,45.2233,107.882,44.11,19.6326,74.1845,12.31,76.54,11.15
8c 4d 4c,33.9946,56.63,45.608,107.375,43.37,19.9618,76.7186,18.56,64.88,16.56
8c 4d 2c,36.0391,55.86,45.1769,107.842,44.14,19.6689,74.2598,12.10,76.71,11.20
8c 4d 3c,33.4087,55.87,45.1877,107.847,44.13,19.675,74.3012,11.97,77.05,10.98
8c 5c 2c,60.1645,54.49,44.4759,108.829,45.51,22.1858,81.2496,5.03,79.10,15.87
8c 5c 2d,28.6331,55.66,45.1059,108.054,44.34,19.7,74.047,11.53,77.97,10.50
8c 5c 3c,56.3634,54.46,44.441,108.796,45.54,22.2192,81.325,5.33,78.73,15.94
8c 5c 3d,26.1545,55.64,45.0827,108.027,44.36,19.7597,74.2465,12.01,77.22,10.77
8c 5c 4c,32.6411,55.11,44.9198,108.68,44.89,21.5825,80.1304,6.80,77.66,15.55
8c 5c 4d,0.39434,55.89,46.9012,111.891,44.11,17.5533,66.3223,14.24,75.20,10.57
8c 5d 5c,25.9035,56.35,45.4077,107.437,43.65,20.3007,77.5181,17.81,66.50,15.68
8c 5d 2c,35.7995,55.59,45.0649,108.082,44.41,19.7642,74.1791,10.71,79.04,10.24
8c 5d 3c,31.7037,55.58,45.0162,107.982,44.42,19.8394,74.4468,11.30,78.25,10.45
8c 5d 4c,1.11711,55.85,46.1062,110.068,44.15,18.5187,69.9112,13.35,76.05,10.60
8c 6c 2c,63.3649,54.47,44.6499,109.298,45.53,22.0346,80.6573,4.18,79.53,16.30
8c 6c 2d,22.8371,55.56,45.2446,108.587,44.44,19.5822,73.4338,11.69,76.54,11.77
8c 6c 3c,56.8342,54.45,44.5944,109.198,45.55,22.0539,80.6965,4.46,79.41,16.13
8c 6c 3d,22.3029,55.50,45.2512,108.719,44.50,19.585,73.3458,11.63,76.76,11.61
8c 6c 4c,36.9687,54.94,45.1022,109.451,45.06,21.4149,79.2152,5.48,78.42,16.10
8c 6c 4d,5.67692,55.35,45.6263,109.909,44.65,19.0737,71.1981,12.71,75.35,11.93
8c 6c 5c,25.2365,54.80,45.1657,109.892,45.20,21.3627,78.7717,6.32,77.16,16.53
8c 6c 5d,1.43264,54.71,45.5259,110.959,45.29,19.1954,70.6326,14.03,74.41,11.56
8c 6d 6c,18.6392,56.71,45.6373,107.3,43.29,20.0225,77.0862,17.93,65.59,16.48
8c 6d 2c,26.1777,55.47,45.1753,108.589,44.53,19.6751,73.6398,11.74,76.44,11.82
8c 6d 3c,23.9728,55.39,45.1254,108.633,44.61,19.731,73.7101,11.59,76.84,11.57
8c 6d 4c,5.52103,55.29,45.658,110.111,44.71,19.0288,70.93,12.91,75.18,11.91
8c 6d 5c,0.28751,54.55,46.2489,113.035,45.45,18.2969,67.1014,14.84,73.78,11.38
8c 7c 2c,63.1763,54.75,45.4514,110.683,45.25,21.2986,78.4525,1.79,81.14,17.07
8c 7c 2d,35.2913,55.23,45.5732,110.025,44.77,19.3994,72.2154,8.85,78.13,13.03
8c 7c 3c,57.6822,54.58,45.3515,110.791,45.42,21.3372,78.2947,2.09,81.23,16.68
8c 7c 3d,34.0658,55.23,45.6845,110.283,44.77,19.2417,71.6373,8.49,79.02,12.48
8c 7c 4c,42.3087,54.72,45.5884,111.075,45.28,20.9235,77.022,4.36,79.72,15.91
8c 7c 4d,11.9718,54.80,45.8367,111.533,45.20,18.8196,69.3879,11.50,76.11,12.39
8c 7c 5c,33.522,54.85,45.536,110.694,45.15,20.9766,77.4313,5.30,77.67,17.03
8c 7c 5d,24.458,55.12,45.6154,110.341,44.88,19.3224,71.757,9.50,77.46,13.04
8c 7c 6c,46.9347,55.56,46.3026,111.109,44.44,20.265,76.0084,3.98,79.46,16.56
8c 7c 6d,28.3136,55.09,45.8375,110.944,44.91,19.4741,72.2674,7.91,78.82,13.27
8c 7d 7c,9.69218,56.03,45.3811,107.997,43.97,20.4309,77.4387,15.25,68.71,16.04
8c 7d 2c,37.2418,55.15,45.5224,110.065,44.85,19.4877,72.4121,8.87,78.06,13.07
8c 7d 3c,34.7758,55.11,45.5649,110.249,44.89,19.3957,72.0048,8.58,78.90,12.52
8c 7d 4c,10.6217,54.67,45.7612,111.61,45.33,18.9216,69.5667,11.75,75.81,12.44
8c 7d 5c,20.6454,55.02,45.554,110.397,44.98,19.4059,71.9032,9.78,77.28,12.94
8c 7d 6c,27.5959,55.05,45.8009,110.931,44.95,19.5265,72.4008,8.03,78.67,13.29
8d 8c 2c,50.9994,56.32,44.9941,106.522,43.68,20.8307,79.4807,21.32,61.29,17.39
8d 8c 3c,47.6624,56.31,44.9713,106.48,43.69,20.8625,79.5905,21.47,61.10,17.43
8d 8c 4c,39.3226,56.43,45.0291,106.395,43.57,20.7498,79.374,20.38,62.95,16.67
8d 8c 5c,34.1262,56.24,45.0593,106.835,43.76,20.708,78.8611,18.65,65.76,15.59
8d 8c 6c,33.3622,56.44,45.1983,106.78,43.56,20.586,78.761,18.32,65.24,16.44
8d 8c 7c,34.7604,55.80,45.2313,108.074,44.20,20.5785,77.6012,14.34,70.14,15.52
8h 8d 8c,93.0669,57.48,45.2635,104.99,42.52,19.7567,77.4459,15.80,74.18,10.02
8d 3c 2c,47.5268,55.64,45.1227,108.138,44.36,19.8952,74.742,12.48,74.98,12.54
8d 4c 2c,37.7891,55.81,45.0738,107.69,44.19,19.798,74.6648,11.73,77.36,10.91
8d 4c 3c,34.9949,55.83,45.1096,107.725,44.17,19.7747,74.6212,11.64,77.66,10.70
8d 5c 2c,32.667,55.62,45.0084,107.894,44.38,19.8292,74.4686,10.72,79.18,10.11
8d 5c 3c,31.1327,55.61,44.9751,107.84,44.39,19.897,74.7009,11.23,78.43,10.34
8d 5c 4c,2.12784,55.76,45.5836,109.006,44.24,19.146,72.124,12.82,76.85,10.32
8d 6c 2c,26.0223,55.48,45.1353,108.475,44.52,19.7232,73.8341,11.44,76.93,11.64
8d 6c 3c,23.6545,55.39,45.0777,108.514,44.61,19.7834,73.9093,11.36,77.25,11.39
8d 6c 4c,6.38692,55.31,45.4985,109.677,44.69,19.2627,71.8418,12.32,75.93,11.76
