Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\AdKc2c.cfr
Action Line,Root BET 152 RAISE 366
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,RAISE 580 freq,CALL freq,FOLD freq
8c 3d 2c,2.45521,46.36,263.953,106.631,53.64,482.545,120.258,31.34,17.39,3.01,48.27
8c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8c 4c 2d,3.67426,47.54,286.667,112.928,52.46,459.833,117.179,28.94,19.96,2.69,48.41
8c 4c 3c,0.02091,42.30,250.87,111.06,57.70,495.631,114.839,45.87,2.48,7.46,44.19
8c 4c 3d,2.47692,46.73,276.452,110.782,53.27,470.048,117.97,28.80,19.77,3.63,47.81
8c 4d 4c,4.20827,47.67,287.391,112.893,52.33,459.109,117.295,26.46,21.16,4.42,47.96
8c 4d 2c,3.3991,47.04,278.208,110.746,52.96,468.292,118.222,29.32,19.21,3.17,48.30
8c 4d 3c,1.95927,46.15,269.004,109.161,53.85,477.496,118.54,28.31,19.86,4.03,47.80
8c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8c 5c 2d,3.43664,48.67,299.23,115.128,51.33,447.269,116.497,28.72,18.28,4.97,48.03
8c 5c 3c,0.00177,26.05,40.9278,29.4196,73.95,705.57,127.559,45.45,7.66,2.82,44.06
8c 5c 3d,1.96093,47.76,290.003,113.703,52.24,456.496,116.83,29.11,17.57,5.19,48.14
8c 5c 4c,0.02213,37.21,200.81,101.058,62.79,545.689,116.188,49.86,0.71,1.71,47.71
8c 5c 4d,0.57812,46.49,265.116,106.783,53.51,481.383,120.278,27.15,21.19,4.24,47.41
8c 5d 5c,3.14201,47.59,284.694,112.036,52.41,461.806,117.79,28.06,20.25,3.42,48.27
8c 5d 2c,2.75717,47.50,284.63,112.202,52.50,461.871,117.624,28.45,18.41,4.94,48.20
8c 5d 3c,1.28527,46.73,274.665,110.069,53.27,471.836,118.416,27.78,18.58,5.40,48.25
8c 5d 4c,0.45538,45.60,249.489,102.451,54.40,497.01,122.149,26.33,21.93,4.25,47.48
8c 6c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 2d,3.36869,45.43,275.919,113.737,54.57,470.581,115.286,27.61,19.65,4.42,48.33
8c 6c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 3d,1.72355,45.49,272.812,112.306,54.51,473.687,116.176,27.71,19.83,3.67,48.80
8c 6c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8c 6c 4d,2.89413,46.97,270.607,107.884,53.03,475.895,119.98,31.77,17.13,2.94,48.17
8c 6c 5c,0.09915,37.27,191.117,96.0327,62.73,555.384,118.36,47.80,1.11,3.64,47.46
8c 6c 5d,1.51728,45.51,261.616,107.652,54.49,484.883,118.963,34.82,14.00,4.99,46.20
8c 6d 6c,4.51848,46.15,261.523,106.109,53.85,484.978,120.412,30.24,18.19,3.63,47.95
8c 6d 2c,2.74347,45.47,275.713,113.562,54.53,470.786,115.412,27.84,19.86,3.64,48.67
8c 6d 3c,1.31694,45.66,268.08,109.949,54.34,478.421,117.702,27.71,19.91,3.50,48.89
8c 6d 4c,2.90526,47.01,271.165,108.012,52.99,475.336,119.931,31.05,17.64,3.35,47.96
8c 6d 5c,1.28603,45.10,249.586,103.633,54.90,496.914,121.008,36.81,11.85,5.17,46.17
8c 7c 2c,0.03555,35.48,184.551,97.4171,64.52,561.949,116.433,32.68,16.54,4.02,46.76
8c 7c 2d,3.39125,46.26,262.826,106.39,53.74,483.674,120.329,25.03,21.02,7.41,46.54
