Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\3BP\b66\BTNvSB\2c2d2h.cfr
Action Line,Root CHECK BET 115
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 880 freq,RAISE 230 freq,CALL freq,FOLD freq
7c 6c 4d,0.0056,44.61,46.3283,45.148,55.38,297.171,155.523,3.50,28.01,25.60,42.88
7c 6c 5c,0.00293,50.18,120.623,104.507,49.82,222.878,129.679,0.12,17.84,41.04,41.00
7c 6c 5d,0.00908,41.56,30.2158,31.6126,58.44,313.287,155.378,1.25,25.28,32.27,41.20
7c 6d 6c,1.35146,48.91,64.1283,57.0074,51.09,279.372,158.497,1.48,22.01,36.25,40.25
7c 6d 2c,1.27102,49.20,64.7834,57.2483,50.80,278.717,159.033,2.22,23.68,31.14,42.97
7c 6d 3c,0.33344,49.08,66.7134,59.0949,50.92,276.786,157.566,0.78,28.52,29.04,41.67
7c 6d 4c,0.04075,47.38,69.1411,63.4491,52.62,274.359,151.125,4.18,27.66,26.43,41.74
7c 6d 5c,0.01679,43.59,42.4493,42.3382,56.41,301.051,154.697,1.81,25.99,30.92,41.28
7d 7c 2c,7.46341,50.38,65.9782,56.9452,49.62,277.522,162.098,1.70,21.36,40.61,36.33
7d 7c 3c,4.66558,50.42,64.9912,56.0386,49.58,278.509,162.835,1.75,21.39,40.05,36.81
7d 7c 4c,6.24493,49.85,65.2061,56.8752,50.15,278.294,160.837,2.23,18.37,42.70,36.70
7d 7c 5c,5.82592,49.57,66.6296,58.4434,50.43,276.87,159.131,0.61,22.47,38.30,38.62
7d 7c 6c,2.48914,48.41,61.7088,55.4219,51.59,281.791,158.324,1.35,22.27,35.27,41.11
7h 7d 7c,6.9778,47.77,55.3487,50.3798,52.23,288.151,159.901,6.15,1.98,70.20,21.67
7d 3c 2c,1.57739,50.52,65.404,56.2848,49.48,278.096,162.918,3.05,20.93,36.77,39.25
7d 4c 2c,4.84079,50.33,65.0386,56.1869,49.67,278.462,162.493,3.17,18.82,38.85,39.16
7d 4c 3c,0.81397,49.54,63.435,55.6785,50.46,280.065,160.861,1.13,23.13,36.39,39.35
7d 5c 2c,3.21988,49.79,64.4782,56.3026,50.21,279.022,161.08,1.91,21.33,36.28,40.48
7d 5c 3c,1.09847,49.44,62.3928,54.8672,50.56,281.107,161.161,3.04,22.54,33.82,40.60
7d 5c 4c,0.00718,46.60,49.9139,46.5702,53.40,293.585,159.358,3.04,27.08,27.24,42.63
7d 6c 2c,0.4917,49.28,66.9386,59.0532,50.72,276.561,158.062,2.29,23.55,31.30,42.86
7d 6c 3c,0.06979,48.34,63.292,56.9257,51.66,280.208,157.221,0.73,28.14,29.92,41.21
7d 6c 4c,0.00603,45.24,51.9231,49.8983,54.76,291.576,154.345,4.10,26.25,25.94,43.71
7d 6c 5c,0.0163,45.40,51.4224,49.2421,54.60,292.075,155.063,1.51,25.59,32.18,40.73
7h 7d 2c,10.9142,50.15,64.0278,55.5046,49.85,279.472,162.515,0.00,21.43,46.34,32.23
7h 7d 3c,10.2331,50.21,64.3199,55.7015,49.79,279.18,162.511,0.88,21.80,43.73,33.60
7h 7d 4c,11.4752,49.46,62.1911,54.6729,50.54,281.309,161.326,0.21,19.72,46.77,33.30
7h 7d 5c,10.7506,49.41,63.6602,56.0188,50.59,279.84,160.331,0.03,19.32,46.88,33.76
7h 7d 6c,5.70516,49.28,61.3666,54.1473,50.72,282.133,161.218,2.11,22.57,38.68,36.63
7h 2d 2c,15.1311,49.75,64.5304,56.3899,50.25,278.97,160.932,0.00,17.62,52.79,29.59
7h 3d 3c,13.4408,49.91,65.0788,56.6873,50.09,278.421,161.128,0.82,18.66,48.96,31.56
7h 3d 2c,11.9385,49.92,58.474,50.929,50.08,285.026,164.967,1.71,19.54,44.34,34.41
7h 4d 4c,11.5194,49.60,61.0671,53.5338,50.40,282.433,162.419,0.00,19.49,46.74,33.78
7h 4d 2c,14.65,49.40,58.1419,51.1719,50.60,285.358,163.464,1.20,16.71,48.33,33.76
7h 4d 3c,0.09133,50.76,66.8844,57.2888,49.24,276.616,162.834,0.82,24.34,37.65,37.20
7h 5d 5c,8.73105,49.86,61.7775,53.8681,50.14,281.722,162.868,0.00,21.29,43.49,35.22
7h 5d 2c,12.7982,49.36,60.3487,53.1595,50.64,283.151,162.065,1.99,16.21,46.46,35.34
7h 5d 3c,2.80715,50.17,64.4578,55.8638,49.83,279.042,162.305,1.45,22.39,39.44,36.73
7h 5d 4c,0.01307,52.48,88.5471,73.3562,47.52,254.953,155.518,1.45,23.39,37.67,37.50
7h 6d 6c,5.83625,49.13,60.8269,53.8319,50.87,282.673,161.059,2.15,21.60,39.77,36.48
7h 6d 2c,5.24686,49.71,65.469,57.267,50.29,278.031,160.233,1.92,23.68,36.38,38.02
7h 6d 3c,0.0006,56.82,120.444,92.1675,43.18,223.056,149.721,1.15,35.20,21.20,42.45
7h 6d 4c,0.00359,48.93,83.3373,74.0566,51.07,260.163,147.65,3.90,28.89,23.92,43.28
