Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Th9d8c.cfr
Action Line,Root CHECK BET 15 RAISE 60
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 150 freq,CALL freq,FOLD freq
7d 6c 5c,8.55427,55.30,96.447,129.198,44.70,23.6721,58.8373,0.00,8.28,55.56,36.16
7h 7d 2c,5.05162,53.61,94.6702,130.797,46.39,27.0193,64.7215,0.00,4.54,61.19,34.27
7h 7d 3c,5.87002,53.65,95.1483,131.359,46.35,26.3598,63.1968,0.00,3.81,62.27,33.92
7h 7d 4c,7.18741,54.22,95.4651,130.421,45.78,26.0437,63.2102,0.00,3.86,61.65,34.49
7h 7d 5c,6.57079,54.76,95.736,129.508,45.24,25.7945,63.3493,0.00,5.19,59.45,35.36
7h 7d 6c,6.84926,54.40,95.7941,130.442,45.60,25.3635,61.7999,0.00,5.22,59.87,34.92
7h 2d 2c,4.04088,54.26,95.761,130.723,45.74,24.3577,59.173,0.00,5.01,61.83,33.16
7h 3d 3c,5.11048,53.57,96.0036,132.741,46.43,24.1613,57.824,0.00,4.82,62.45,32.74
7h 3d 2c,5.17006,54.49,97.916,133.12,45.52,20.7328,50.6128,0.00,1.12,69.34,29.54
7h 4d 4c,5.96275,54.02,96.1443,131.838,45.98,24.464,59.1164,0.00,2.36,64.63,33.01
7h 4d 2c,6.63224,54.73,97.3727,131.798,45.27,21.2393,52.1253,0.00,0.17,70.20,29.63
7h 4d 3c,8.36226,53.04,96.3921,134.622,46.96,22.5133,53.2666,0.00,5.89,61.37,32.74
7h 5d 5c,5.98316,54.78,96.1556,130.028,45.22,25.0896,61.6451,0.00,2.18,63.07,34.75
7h 5d 2c,6.66908,54.73,97.2157,131.579,45.27,21.5495,52.8899,0.00,2.51,66.13,31.36
7h 5d 3c,7.90721,54.74,96.9826,131.234,45.26,21.8898,53.7395,0.00,5.94,60.61,33.45
7h 5d 4c,11.1462,54.27,96.3073,131.444,45.73,23.1571,56.2691,0.00,9.75,54.22,36.03
7h 6d 6c,6.40929,54.71,96.1498,130.178,45.29,24.763,60.7538,0.00,4.38,60.55,35.07
7h 6d 2c,7.09064,54.18,97.1933,132.879,45.82,21.7122,52.6521,0.00,3.62,64.56,31.82
7h 6d 3c,8.47905,53.25,96.7863,134.627,46.75,21.8235,51.8717,0.00,9.30,56.35,34.35
7h 6d 4c,8.98495,54.22,96.9852,132.491,45.78,22.2559,54.0204,0.00,9.57,54.45,35.98
7h 6d 5c,9.71965,55.06,97.8419,131.64,44.94,22.056,54.5267,0.00,7.62,57.29,35.09
8c 2d 2c,2.49153,55.48,96.3695,128.672,44.52,24.2231,60.4525,0.00,7.77,55.11,37.12
8c 3c 2c,1.5594,58.13,99.8924,127.296,41.87,22.8014,60.5053,0.00,0.00,57.07,42.93
8c 3c 2d,4.02454,56.38,97.3034,127.832,43.62,21.9827,56.0007,0.00,4.39,61.29,34.32
8c 3d 3c,2.80659,55.25,96.3981,129.233,44.75,24.4205,60.6392,0.00,6.89,56.41,36.71
8c 3d 2c,3.91718,56.36,97.3001,127.891,43.64,21.9969,56.0007,0.00,4.64,61.00,34.35
8c 4c 2c,2.31358,58.43,99.6202,126.291,41.57,23.0312,61.56,0.00,0.00,57.48,42.52
