Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\Th9d8c.cfr
Action Line,Root CHECK BET 15 RAISE 60 RAISE 970
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
9c 3d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 3d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 4c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 4c 2d,0,22.46,-53.5292,-132.428,77.54,1110.91,131.433,25.96,74.04
9c 4c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 4c 3d,0.00001,23.51,-44.2842,-104.655,76.49,1101.58,132.121,26.05,73.95
9c 4d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 4d 2c,0.00004,21.79,-58.8178,-149.937,78.21,1115.51,130.86,26.71,73.29
9c 4d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5c 3d,0.00004,26.05,-22.6282,-48.2627,73.95,1079.57,133.928,26.44,73.56
9c 5c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5c 4d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5d 5c,0,15.20,-66.3524,-242.559,84.80,1132,122.468,16.87,83.13
9c 5d 2c,0.00001,23.06,-46.3645,-111.724,76.94,1103.47,131.571,26.26,73.74
9c 5d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 5d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 4d,0.00004,26.01,-24.4694,-52.2702,73.99,1082.32,134.196,25.44,74.56
9c 6c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6c 5d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 6d 5c,0.00001,15.25,-107.667,-392.232,84.75,1163.12,125.909,28.07,71.93
9c 7c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7c 2d,0,25.85,-24.2682,-52.1631,74.15,1083.06,133.997,24.41,75.59
9c 7c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7c 4d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7c 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7c 5d,0.00001,18.17,-78.7847,-240.924,81.83,1135.34,127.284,26.86,73.14
9c 7c 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7c 6d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7d 7c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7d 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7d 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7d 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7d 5c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 7d 6c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 2c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 2d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 3c,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 3d,0,nan,nan,nan,nan,nan,nan,nan,nan
9c 8c 4c,0,nan,nan,nan,nan,nan,nan,nan,nan
