Aggregation analysis,PioViewer 3.2.9, EV in chips
File, D:\Database\SimpleTree\SRP\b25\SBvBB\3d3h2c.cfr
Action Line,Root BET 15 RAISE 60 RAISE 150
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,RAISE 970 freq,RAISE 330 freq,CALL freq,FOLD freq
6h 3d 3c,0.1269,57.87,193.175,123.639,42.13,52.9568,69.8275,0.00,11.26,44.53,44.20
6h 3d 2c,0.00341,55.98,197.447,130.644,44.02,46.7737,59.0251,0.00,15.76,39.79,44.45
6h 4d 4c,0.43942,58.53,194.028,122.789,41.48,52.1488,69.853,0.00,5.95,50.42,43.62
6h 4d 2c,0.07722,57.04,189.323,122.934,42.96,54.3596,70.2953,0.00,14.21,43.00,42.79
6h 4d 3c,0.00056,56.04,207.905,137.403,43.96,36.4126,46.0184,0.00,15.84,39.37,44.79
6h 5d 5c,0.43469,59.34,193.383,120.705,40.66,53.5975,73.2277,0.00,5.75,50.14,44.11
6h 5d 2c,0.02131,56.79,190.179,124.03,43.21,52.7524,67.824,0.01,12.88,46.42,40.69
6h 5d 3c,0.00223,57.41,204.715,132.06,42.59,38.1337,49.7466,0.04,12.91,45.94,41.11
6h 5d 4c,0.00011,60.64,220.614,134.751,39.36,23.4713,33.1264,0.00,13.79,44.57,41.64
7c 2d 2c,0.48405,58.22,192.213,122.272,41.78,53.4668,71.1007,0.00,8.35,48.10,43.56
7c 3c 2c,0.23159,62.07,193.148,115.251,37.93,54.7583,80.2042,0.03,0.58,53.85,45.54
7c 3c 2d,0.48783,58.76,190.564,120.108,41.24,52.7556,71.0746,2.40,6.55,48.82,42.23
7c 3d 3c,0.14383,58.19,193.345,123.056,41.81,52.2722,69.4613,0.00,9.08,47.30,43.62
7c 3d 2c,0.51592,58.36,189.596,120.315,41.64,53.7848,71.7659,3.25,6.18,48.25,42.33
7c 4c 2c,0.25442,61.64,193.352,116.178,38.36,54.6324,79.1216,0.03,1.02,53.68,45.27
7c 4c 2d,0.41701,59.73,190.045,117.84,40.27,53.3989,73.6697,3.64,5.13,48.64,42.60
7c 4c 3c,0.25725,61.37,195.225,117.825,38.63,52.5618,75.5861,0.00,1.91,52.11,45.98
7c 4c 3d,0.02125,57.59,192.424,123.747,42.41,50.7099,66.4309,5.51,8.22,42.76,43.51
7c 4d 4c,0.50434,59.16,194.126,121.533,40.84,52.2391,71.0617,0.00,7.42,48.16,44.41
7c 4d 2c,0.45604,59.39,189.368,118.097,40.61,54.1236,74.0396,4.13,5.26,48.04,42.56
7c 4d 3c,0.04633,57.65,192.243,123.505,42.35,50.8063,66.649,5.94,8.67,41.57,43.82
7c 5c 2c,0.30427,61.36,194.568,117.434,38.64,53.4791,76.8992,0.00,1.59,52.46,45.95
7c 5c 2d,0.27144,59.44,191.455,119.294,40.56,51.7966,70.948,3.05,6.97,47.77,42.21
7c 5c 3c,0.2633,61.31,193.902,117.127,38.69,53.8023,77.2644,0.00,2.09,51.90,46.01
7c 5c 3d,0.14875,58.78,191.341,120.559,41.22,51.5989,69.5472,4.37,7.08,46.67,41.88
7c 5c 4c,0.22456,61.04,194.319,117.908,38.96,53.5098,76.3016,0.00,6.70,45.41,47.89
7c 5c 4d,0.00002,57.02,216.624,140.7,42.98,26.5717,34.3488,3.33,9.65,44.11,42.91
7c 5d 5c,0.35627,59.61,194.718,120.974,40.39,52.3786,72.0531,0.00,7.23,47.07,45.70
7c 5d 2c,0.36048,58.83,190.02,119.637,41.17,53.2089,71.7943,4.14,6.74,46.81,42.30
7c 5d 3c,0.19736,58.43,189.707,120.246,41.57,52.9803,70.8081,6.80,5.71,45.76,41.73
7c 5d 4c,0.00012,58.05,203.044,129.549,41.95,40.6515,53.8342,4.73,8.67,44.30,42.30
7c 6c 2c,0.27245,61.12,193.09,117,38.88,54.5193,77.9104,0.00,2.57,52.25,45.18
7c 6c 2d,0.41256,57.42,191.196,123.327,42.58,51.5925,67.313,3.99,6.16,49.76,40.09
7c 6c 3c,0.28073,60.77,196.002,119.452,39.23,51.4451,72.8584,0.00,2.66,51.79,45.55
7c 6c 3d,0.0631,56.01,195.311,129.159,43.99,47.0687,59.4392,5.15,9.04,44.11,41.70
7c 6c 4c,0.30101,60.73,192.317,117.28,39.27,55.136,78.0084,0.00,5.92,47.09,46.98
7c 6c 4d,0.18093,56.21,193.265,127.346,43.79,49.3572,62.6172,5.32,8.08,45.30,41.30
7c 6c 5c,0.27845,60.60,192.687,117.774,39.40,54.6826,77.0953,0.00,9.62,42.37,48.01
7c 6c 5d,0.16088,56.81,190.932,124.48,43.19,52.3229,67.3017,2.70,9.32,48.00,39.98
7c 6d 6c,0.37139,58.11,194.245,123.812,41.89,51.8761,68.7933,0.00,10.00,45.90,44.10
7c 6d 2c,0.42793,56.83,190.76,124.319,43.17,52.2093,67.1896,5.63,5.92,47.73,40.72
7c 6d 3c,0.06254,55.74,193.554,128.608,44.26,48.7059,61.1368,6.92,8.09,43.27,41.72
7c 6d 4c,0.18044,56.22,193.388,127.396,43.78,49.2137,62.4543,4.99,8.51,45.13,41.36
7c 6d 5c,0.10051,57.01,191.507,124.425,42.99,51.9407,67.1149,2.61,9.18,47.94,40.27
7d 7c 2c,0.28101,59.43,194.83,121.429,40.58,52.8133,72.3123,0.00,11.31,41.67,47.01
7d 7c 3c,0.13747,59.48,195.232,121.565,40.52,52.1797,71.5437,0.00,11.05,42.30,46.65
7d 7c 4c,0.13028,59.07,196.045,122.928,40.93,51.5649,69.9846,0.00,10.38,42.78,46.84
7d 7c 5c,0.05436,58.93,196.012,123.188,41.07,51.8334,70.1192,0.00,10.39,43.03,46.57
7d 7c 6c,0.17759,58.06,194.734,124.228,41.94,52.2267,69.1778,0.00,12.28,42.69,45.03
7h 7d 7c,1.21786,59.31,175.393,109.527,40.69,70.9935,96.9299,0.00,21.46,33.38,45.16
7d 3c 2c,0.59865,58.27,189.103,120.189,41.73,54.4524,72.4991,1.84,8.78,46.74,42.64
7d 4c 2c,0.4734,59.32,188.836,117.911,40.68,54.8045,74.8367,2.52,7.49,47.25,42.74
7d 4c 3c,0.05896,58.03,190.781,121.767,41.97,52.823,69.9195,3.72,10.33,41.90,44.06
7d 5c 2c,0.31368,58.86,189.939,119.511,41.14,53.5707,72.3472,2.30,9.05,45.88,42.77
7d 5c 3c,0.21127,58.82,190.313,119.834,41.18,53.0212,71.5298,3.01,8.56,45.98,42.44
7d 5c 4c,0.00006,57.31,204.731,132.311,42.69,39.1966,51.008,2.92,10.70,44.11,42.27
7d 6c 2c,0.43207,56.81,189.902,123.795,43.19,53.3031,68.5719,3.61,8.78,46.33,41.29
7d 6c 3c,0.0575,56.12,193.152,127.477,43.88,49.3673,62.5001,5.08,9.71,43.37,41.84
7d 6c 4c,0.17537,56.14,193.138,127.418,43.86,49.7523,63.0196,2.81,11.22,44.29,41.68
7d 6c 5c,0.13131,57.08,191.424,124.201,42.92,52.1231,67.473,1.53,10.54,47.39,40.54
